,0,1,2,3,4
2018-12-16 16:07:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 16:12:00.020,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 16:17:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 16:22:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 16:27:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 16:32:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 16:37:00.020,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 16:42:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 16:47:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 16:52:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 16:57:00.020,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 17:02:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 17:07:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 17:12:00.020,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 17:17:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 17:22:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 17:27:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 17:32:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 17:37:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 17:42:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 17:47:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 17:52:00.026,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 17:57:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 18:02:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 18:07:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 18:12:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 18:17:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 18:22:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 18:27:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 18:32:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 18:37:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 18:42:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 18:47:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
